r7l1 st=身份:-0.0019 反身份:0.0019 攻击:-0.0179 拒绝:-0.0 dec={'dir': '攻拒2', 'strength': 77.97213977288314, 'layer': 58, 'temp': 0.5917344397941002, 'scale': 1.6009188584622525} sc=18.32
r7l2 st=身份:-0.0016 反身份:0.0016 攻击:-0.0185 拒绝:-0.0 dec={'dir': '反攻', 'strength': 13.663375414312203, 'layer': 59, 'temp': 1.0461594334586302, 'scale': 1.7514068084948666} sc=17.98
r7l3 st=身份:-0.0016 反身份:0.0016 攻击:-0.0207 拒绝:-0.0 dec={'dir': '身拒', 'strength': 13.3799630382748, 'layer': 55, 'temp': 0.45840542723235594, 'scale': 1.4324350873332727} sc=20.51
r8l0 st=身份:-0.0062 反身份:0.0062 攻击:-0.0129 拒绝:-0.0 dec={'dir': '拒绝', 'strength': 30.266739229225507, 'layer': 0, 'temp': 0.7589195602635148, 'scale': 1.402292925594494} sc=18.09
r8l1 st=身份:-0.0019 反身份:0.0019 攻击:-0.0174 拒绝:-0.0 dec={'dir': '随机', 'strength': 89.91102008319952, 'layer': 53, 'temp': 0.4833708126991656, 'scale': 1.4030678909733583} sc=20.91
r8l2 st=身份:-0.0020 反身份:0.0020 攻击:0.0033 拒绝:-0.01 dec={'dir': '反攻', 'strength': 36.72507044736536, 'layer': 50, 'temp': 0.4973021054506749, 'scale': 1.3517154723998925} sc=17.78
r8l3 st=身份:0.0008 反身份:-0.0008 攻击:-0.0191 拒绝:-0.0 dec={'dir': '反身份', 'strength': 74.62399680733441, 'layer': 59, 'temp': 0.5510692879034225, 'scale': 0.6497712766267826} sc=11.06
r9l0 st=身份:-0.0013 反身份:0.0013 攻击:-0.0119 拒绝:-0.0 dec={'dir': '随机', 'strength': 14.842424619455453, 'layer': 50, 'temp': 1.027844584328263, 'scale': 1.7898469426573285} sc=18.46
r9l1 st=ERR dec={'dir': '身攻', 'strength': 41.37485984344344, 'layer': 0, 'temp': 0.7988038098044077, 'scale': 0.6387549799738259} sc=5.97
r9l2 st=ERR dec={'dir': '反身份', 'strength': 36.65341743133301, 'layer': 51, 'temp': 0.4508629445461882, 'scale': 1.694532658944521} sc=5.97
r9l3 st=ERR dec={'dir': '随机', 'strength': 56.02422191582348, 'layer': 61, 'temp': 1.1733474513192248, 'scale': 1.3029516507308458} sc=5.97
# 皮层提炼 r10: 皮层规律: 区域0:反身份/19分(n=7); 区域1:身份/18分(n=2); 区域2:攻拒2/19分(n=2); 区域3:身拒/18分(n=5); 区域4:随机/18分(n=11); 区域5:反攻/15分(n=3); 区域6:拒绝/18分(n=11); 区域7:反攻/9分(n=4)
r10l0 st=ERR dec={'dir': '攻身', 'strength': 44.031205864319794, 'layer': 62, 'temp': 0.43572012492309, 'scale': 0.852078893187969} sc=5.97
r10l1 st=ERR dec={'dir': '攻身', 'strength': 88.08284586800904, 'layer': 56, 'temp': 0.6585648282138176, 'scale': 1.3168297468676866} sc=5.97
r10l2 st=ERR dec={'dir': '反身份', 'strength': 40.14037371674475, 'layer': 61, 'temp': 0.9618118989145714, 'scale': 0.8701395732561135} sc=5.97
r10l3 st=ERR dec={'dir': '反攻', 'strength': 40.461883162147515, 'layer': 50, 'temp': 1.0906487270929224, 'scale': 1.0620305518276703} sc=5.97
# r10 best=20.91 mem={'n': 49, 'timelines': 4, 'best_score': 20.911451013292197}
# 皮层提炼 r11: 皮层规律: 区域0:反身份/19分(n=12); 区域1:身份/18分(n=1); 区域2:随机/18分(n=8); 区域3:攻拒2/19分(n=2); 区域4:拒绝/18分(n=10); 区域5:身攻/6分(n=7); 区域6:反攻/15分(n=4); 区域7:拒攻/17分(n=5)
r11l0 st=ERR dec={'dir': '身份', 'strength': 21.511048088962983, 'layer': 0, 'temp': 0.9114208186298577, 'scale': 0.6067434862580633} sc=5.97
r11l1 st=ERR dec={'dir': '身攻', 'strength': 36.59175928960455, 'layer': 55, 'temp': 0.6053203903819637, 'scale': 1.0913979772800246} sc=5.97
r11l2 st=ERR dec={'dir': '随机', 'strength': 11.540860616120815, 'layer': 57, 'temp': 1.0935645813219264, 'scale': 1.540719055560348} sc=5.97
r11l3 st=ERR dec={'dir': '反攻', 'strength': 11.165306564574895, 'layer': 63, 'temp': 0.6730850270777264, 'scale': 0.8655862811733652} sc=5.97
r12l0 st=ERR dec={'dir': '拒攻', 'strength': 79.44434367248235, 'layer': 0, 'temp': 1.1546020790027536, 'scale': 1.6987302682849537} sc=5.97
r12l1 st=ERR dec={'dir': '反身份', 'strength': 89.63496362788739, 'layer': 0, 'temp': 0.7097956400232246, 'scale': 0.6863393827366457} sc=5.97
r12l2 st=ERR dec={'dir': '攻拒2', 'strength': 91.44379378822278, 'layer': 0, 'temp': 0.43679961473555484, 'scale': 1.5523159450826554} sc=5.97
r12l3 st=ERR dec={'dir': '攻身', 'strength': 92.42975518645213, 'layer': 50, 'temp': 0.860067998880891, 'scale': 1.6680186075830956} sc=5.97
